USH2A,"Usher syndrome 2A (autosomal recessive, mild)",77 / 986 (7.81%),"1,393 / 10,202","144 / 1,072 (13.43%)","30 / 1,072 (2.80%)",0,,add to survival plot
SPTA1,"spectrin, alpha, erythrocytic 1",74 / 986 (7.51%),"1,126 / 10,202","141 / 1,072 (13.15%)","27 / 1,072 (2.52%)",0,,add to survival plot
FLG,filaggrin,71 / 986 (7.20%),"1,430 / 10,202","179 / 1,072 (16.70%)","19 / 1,072 (1.77%)",0,,add to survival plot
DST,dystonin,69 / 986 (7.00%),"1,181 / 10,202","82 / 1,072 (7.65%)","32 / 1,072 (2.99%)",0,,add to survival plot
RYR3,ryanodine receptor 3,69 / 986 (7.00%),"1,075 / 10,202","33 / 1,072 (3.08%)","97 / 1,072 (9.05%)",0,,add to survival plot
PTEN,phosphatase and tensin homolog,68 / 986 (6.90%),"1,005 / 10,202","30 / 1,072 (2.80%)","116 / 1,072 (10.82%)",0,Cancer Gene Census,add to survival plot
ZFHX4,zinc finger homeobox 4,64 / 986 (6.49%),"1,293 / 10,202","106 / 1,072 (9.89%)","40 / 1,072 (3.73%)",0,,add to survival plot
DMD,dystrophin,64 / 986 (6.49%),"952 / 10,202","41 / 1,072 (3.82%)","32 / 1,072 (2.99%)",0,,add to survival plot
OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",63 / 986 (6.39%),"1,316 / 10,202","158 / 1,072 (14.74%)","25 / 1,072 (2.33%)",0,,add to survival plot
NEB,nebulin,61 / 986 (6.19%),"1,040 / 10,202","19 / 1,072 (1.77%)","37 / 1,072 (3.45%)",0,,add to survival plot
MUC17,"mucin 17, cell surface associated",59 / 986 (5.98%),"1,105 / 10,202","31 / 1,072 (2.89%)","37 / 1,072 (3.45%)",0,,add to survival plot
MACF1,microtubule-actin crosslinking factor 1,58 / 986 (5.88%),"1,050 / 10,202","73 / 1,072 (6.81%)","44 / 1,072 (4.10%)",0,,add to survival plot
SYNE2,"spectrin repeat containing, nuclear envelope 2",57 / 986 (5.78%),"897 / 10,202","42 / 1,072 (3.92%)","62 / 1,072 (5.78%)",0,,add to survival plot
NCOR1,nuclear receptor corepressor 1,57 / 986 (5.78%),"505 / 10,202","25 / 1,072 (2.33%)","34 / 1,072 (3.17%)",0,Cancer Gene Census,add to survival plot
APOB,apolipoprotein B,56 / 986 (5.68%),"1,092 / 10,202","33 / 1,072 (3.08%)","39 / 1,072 (3.64%)",0,,add to survival plot
NF1,neurofibromin 1,55 / 986 (5.58%),"776 / 10,202","93 / 1,072 (8.68%)","65 / 1,072 (6.06%)",0,Cancer Gene Census,add to survival plot
MUC5B,"mucin 5B, oligomeric mucus/gel-forming",54 / 986 (5.48%),"981 / 10,202","35 / 1,072 (3.26%)","85 / 1,072 (7.93%)",0,,add to survival plot
PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,54 / 986 (5.48%),"947 / 10,202","191 / 1,072 (17.82%)","12 / 1,072 (1.12%)",0,,add to survival plot
GOLGA6L6,golgin A6 family-like 6,53 / 986 (5.38%),"254 / 10,202","52 / 1,072 (4.85%)","100 / 1,072 (9.33%)",0,,add to survival plot
ABCA13,"ATP-binding cassette, sub-family A (ABC1), member 13",53 / 986 (5.38%),"958 / 10,202","41 / 1,072 (3.82%)","22 / 1,072 (2.05%)",0,,add to survival plot
CSMD1,CUB and Sushi multiple domains 1,53 / 986 (5.38%),"1,188 / 10,202","52 / 1,072 (4.85%)","142 / 1,072 (13.25%)",0,,add to survival plot
CCDC168,coiled-coil domain containing 168,52 / 986 (5.27%),"362 / 10,202","95 / 1,072 (8.86%)","17 / 1,072 (1.59%)",0,,add to survival plot
CSMD3,CUB and Sushi multiple domains 3,51 / 986 (5.17%),"1,636 / 10,202","218 / 1,072 (20.34%)","15 / 1,072 (1.40%)",0,,add to survival plot
FAT3,FAT atypical cadherin 3,51 / 986 (5.17%),"1,170 / 10,202","74 / 1,072 (6.90%)","85 / 1,072 (7.93%)",0,,add to survival plot
RUNX1,runt-related transcription factor 1,50 / 986 (5.07%),"233 / 10,202","92 / 1,072 (8.58%)","32 / 1,072 (2.99%)",0,Cancer Gene Census,add to survival plot
DNAH11,"dynein, axonemal, heavy chain 11",49 / 986 (4.97%),"942 / 10,202","52 / 1,072 (4.85%)","34 / 1,072 (3.17%)",0,,add to survival plot
RYR1,ryanodine receptor 1 (skeletal),49 / 986 (4.97%),"1,090 / 10,202","65 / 1,072 (6.06%)","29 / 1,072 (2.71%)",0,,add to survival plot
HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",49 / 986 (4.97%),"726 / 10,202","41 / 1,072 (3.82%)","12 / 1,072 (1.12%)",0,,add to survival plot
CACNA1E,"calcium channel, voltage-dependent, R type, alpha 1E subunit",47 / 986 (4.77%),"846 / 10,202","109 / 1,072 (10.17%)","28 / 1,072 (2.61%)",0,,add to survival plot
XIRP2,xin actin-binding repeat containing 2,47 / 986 (4.77%),"1,185 / 10,202","36 / 1,072 (3.36%)","25 / 1,072 (2.33%)",0,,add to survival plot
PCLO,piccolo presynaptic cytomatrix protein,47 / 986 (4.77%),"1,340 / 10,202","36 / 1,072 (3.36%)","30 / 1,072 (2.80%)",0,,add to survival plot
LRP1B,low density lipoprotein receptor-related protein 1B,47 / 986 (4.77%),"1,524 / 10,202","42 / 1,072 (3.92%)","67 / 1,072 (6.25%)",0,,add to survival plot
ARID1A,AT rich interactive domain 1A (SWI-like),46 / 986 (4.67%),"936 / 10,202","19 / 1,072 (1.77%)","173 / 1,072 (16.14%)",0,Cancer Gene Census,add to survival plot
PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",45 / 986 (4.56%),"540 / 10,202","13 / 1,072 (1.21%)","77 / 1,072 (7.18%)",0,Cancer Gene Census,add to survival plot
LRP2,low density lipoprotein receptor-related protein 2,45 / 986 (4.56%),"1,009 / 10,202","45 / 1,072 (4.20%)","24 / 1,072 (2.24%)",0,,add to survival plot
ADGRV1,adhesion G protein-coupled receptor V1,44 / 986 (4.46%),"1,005 / 10,202","15 / 1,072 (1.40%)","58 / 1,072 (5.41%)",0,,add to survival plot
MAP2K4,mitogen-activated protein kinase kinase 4,44 / 986 (4.46%),"206 / 10,202","10 / 1,072 (0.93%)","59 / 1,072 (5.50%)",0,Cancer Gene Census,add to survival plot
RNF213,ring finger protein 213,44 / 986 (4.46%),"755 / 10,202","212 / 1,072 (19.78%)","33 / 1,072 (3.08%)",0,Cancer Gene Census,add to survival plot
DNAH17,"dynein, axonemal, heavy chain 17",44 / 986 (4.46%),"820 / 10,202","215 / 1,072 (20.06%)","28 / 1,072 (2.61%)",0,,add to survival plot
HYDIN,"HYDIN, axonemal central pair apparatus protein",43 / 986 (4.36%),"870 / 10,202","36 / 1,072 (3.36%)","42 / 1,072 (3.92%)",0,,add to survival plot
MDN1,"MDN1, midasin homolog (yeast)",43 / 986 (4.36%),"707 / 10,202","35 / 1,072 (3.26%)","81 / 1,072 (7.56%)",0,,add to survival plot
CSMD2,CUB and Sushi multiple domains 2,43 / 986 (4.36%),"969 / 10,202","44 / 1,072 (4.10%)","85 / 1,072 (7.93%)",0,,add to survival plot
SPEN,spen family transcriptional repressor,43 / 986 (4.36%),"596 / 10,202","17 / 1,072 (1.59%)","184 / 1,072 (17.16%)",0,Cancer Gene Census,add to survival plot
DCHS2,dachsous cadherin-related 2,43 / 986 (4.36%),"741 / 10,202","48 / 1,072 (4.48%)","44 / 1,072 (4.10%)",0,,add to survival plot
KMT2D,lysine (K)-specific methyltransferase 2D,43 / 986 (4.36%),"1,140 / 10,202","42 / 1,072 (3.92%)","45 / 1,072 (4.20%)",0,Cancer Gene Census,add to survival plot
PRUNE2,prune homolog 2 (Drosophila),42 / 986 (4.26%),"658 / 10,202","29 / 1,072 (2.71%)","35 / 1,072 (3.26%)",0,,add to survival plot
AHNAK,AHNAK nucleoprotein,41 / 986 (4.16%),"855 / 10,202","106 / 1,072 (9.89%)","49 / 1,072 (4.57%)",0,,add to survival plot
PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",41 / 986 (4.16%),"650 / 10,202","113 / 1,072 (10.54%)","67 / 1,072 (6.25%)",0,,add to survival plot
AHNAK2,AHNAK nucleoprotein 2,41 / 986 (4.16%),"1,019 / 10,202","69 / 1,072 (6.44%)","56 / 1,072 (5.22%)",0,,add to survival plot
MXRA5,matrix-remodelling associated 5,41 / 986 (4.16%),"778 / 10,202","46 / 1,072 (4.29%)","31 / 1,072 (2.89%)",0,,add to survival plot
DNAH8,"dynein, axonemal, heavy chain 8",40 / 986 (4.06%),"985 / 10,202","72 / 1,072 (6.72%)","32 / 1,072 (2.99%)",0,,add to survival plot
SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",40 / 986 (4.06%),"663 / 10,202","30 / 1,072 (2.80%)","40 / 1,072 (3.73%)",0,,add to survival plot
AKAP9,A kinase (PRKA) anchor protein 9,40 / 986 (4.06%),"618 / 10,202","42 / 1,072 (3.92%)","26 / 1,072 (2.43%)",0,Cancer Gene Census,add to survival plot
TENM1,teneurin transmembrane protein 1,40 / 986 (4.06%),"810 / 10,202","35 / 1,072 (3.26%)","23 / 1,072 (2.15%)",0,,add to survival plot
BIRC6,baculoviral IAP repeat containing 6,40 / 986 (4.06%),"688 / 10,202","46 / 1,072 (4.29%)","22 / 1,072 (2.05%)",0,,add to survival plot
FAT1,FAT atypical cadherin 1,40 / 986 (4.06%),"875 / 10,202","53 / 1,072 (4.94%)","74 / 1,072 (6.90%)",0,Cancer Gene Census,add to survival plot
XKR4,"XK, Kell blood group complex subunit-related family, member 4",40 / 986 (4.06%),"648 / 10,202","91 / 1,072 (8.49%)","67 / 1,072 (6.25%)",0,,add to survival plot
ASPM,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",40 / 986 (4.06%),"622 / 10,202","129 / 1,072 (12.03%)","17 / 1,072 (1.59%)",0,,add to survival plot
MYH9,"myosin, heavy chain 9, non-muscle",39 / 986 (3.96%),"455 / 10,202","24 / 1,072 (2.24%)","35 / 1,072 (3.26%)",0,Cancer Gene Census,add to survival plot
CHD6,chromodomain helicase DNA binding protein 6,39 / 986 (3.96%),"546 / 10,202","54 / 1,072 (5.04%)","48 / 1,072 (4.48%)",0,,add to survival plot
DNAH9,"dynein, axonemal, heavy chain 9",39 / 986 (3.96%),"994 / 10,202","13 / 1,072 (1.21%)","46 / 1,072 (4.29%)",0,,add to survival plot
GON4L,gon-4-like (C. elegans),39 / 986 (3.96%),"480 / 10,202","156 / 1,072 (14.55%)","27 / 1,072 (2.52%)",0,,add to survival plot
SACS,sacsin molecular chaperone,39 / 986 (3.96%),"769 / 10,202","86 / 1,072 (8.02%)","73 / 1,072 (6.81%)",0,,add to survival plot
ASH1L,"ash1 (absent, small, or homeotic)-like (Drosophila)",38 / 986 (3.85%),"594 / 10,202","168 / 1,072 (15.67%)","26 / 1,072 (2.43%)",0,,add to survival plot
DNAH3,"dynein, axonemal, heavy chain 3",38 / 986 (3.85%),"884 / 10,202","40 / 1,072 (3.73%)","13 / 1,072 (1.21%)",0,,add to survival plot
FMN2,formin 2,38 / 986 (3.85%),"731 / 10,202","162 / 1,072 (15.11%)","39 / 1,072 (3.64%)",0,,add to survival plot
LYST,lysosomal trafficking regulator,38 / 986 (3.85%),"602 / 10,202","171 / 1,072 (15.95%)","34 / 1,072 (3.17%)",0,,add to survival plot
DNM1P47,DNM1 pseudogene 47,38 / 986 (3.85%),"444 / 10,202","0 / 1,072 (0.00%)","0 / 1,072 (0.00%)",0,,add to survival plot
CUBN,cubilin (intrinsic factor-cobalamin receptor),38 / 986 (3.85%),"836 / 10,202","72 / 1,072 (6.72%)","15 / 1,072 (1.40%)",0,,add to survival plot
DNAH14,"dynein, axonemal, heavy chain 14",38 / 986 (3.85%),"327 / 10,202","160 / 1,072 (14.93%)","22 / 1,072 (2.05%)",0,,add to survival plot
ST6GALNAC3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",38 / 986 (3.85%),"269 / 10,202","49 / 1,072 (4.57%)","64 / 1,072 (5.97%)",0,,add to survival plot
DNAH5,"dynein, axonemal, heavy chain 5",38 / 986 (3.85%),"1,258 / 10,202","84 / 1,072 (7.84%)","12 / 1,072 (1.12%)",0,,add to survival plot
LAMA1,"laminin, alpha 1",38 / 986 (3.85%),"753 / 10,202","24 / 1,072 (2.24%)","29 / 1,072 (2.71%)",0,,add to survival plot
NBPF12,"neuroblastoma breakpoint family, member 12",38 / 986 (3.85%),"307 / 10,202","190 / 1,072 (17.72%)","27 / 1,072 (2.52%)",0,,add to survival plot
RELN,reelin,38 / 986 (3.85%),"859 / 10,202","30 / 1,072 (2.80%)","43 / 1,072 (4.01%)",0,,add to survival plot
USP34,ubiquitin specific peptidase 34,37 / 986 (3.75%),"498 / 10,202","62 / 1,072 (5.78%)","10 / 1,072 (0.93%)",0,,add to survival plot
TBX3,T-box 3,37 / 986 (3.75%),"263 / 10,202","26 / 1,072 (2.43%)","88 / 1,072 (8.21%)",0,Cancer Gene Census,add to survival plot
VPS13B,vacuolar protein sorting 13 homolog B (yeast),37 / 986 (3.75%),"728 / 10,202","203 / 1,072 (18.94%)","23 / 1,072 (2.15%)",0,,add to survival plot
LRP1,low density lipoprotein receptor-related protein 1,37 / 986 (3.75%),"738 / 10,202","36 / 1,072 (3.36%)","36 / 1,072 (3.36%)",0,,add to survival plot
ALMS1,Alstrom syndrome 1,37 / 986 (3.75%),"637 / 10,202","45 / 1,072 (4.20%)","13 / 1,072 (1.21%)",0,,add to survival plot
MED12,mediator complex subunit 12,37 / 986 (3.75%),"477 / 10,202","24 / 1,072 (2.24%)","20 / 1,072 (1.87%)",0,Cancer Gene Census,add to survival plot
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,37 / 986 (3.75%),"788 / 10,202","42 / 1,072 (3.92%)","106 / 1,072 (9.89%)",0,,add to survival plot
ANK2,"ankyrin 2, neuronal",36 / 986 (3.65%),"879 / 10,202","42 / 1,072 (3.92%)","40 / 1,072 (3.73%)",0,,add to survival plot
KMT2A,lysine (K)-specific methyltransferase 2A,36 / 986 (3.65%),"602 / 10,202","28 / 1,072 (2.61%)","163 / 1,072 (15.21%)",0,Cancer Gene Census,add to survival plot
FCGBP,Fc fragment of IgG binding protein,36 / 986 (3.65%),"830 / 10,202","61 / 1,072 (5.69%)","31 / 1,072 (2.89%)",0,,add to survival plot
PTPRD,"protein tyrosine phosphatase, receptor type, D",36 / 986 (3.65%),"696 / 10,202","70 / 1,072 (6.53%)","73 / 1,072 (6.81%)",0,,add to survival plot
ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",36 / 986 (3.65%),"829 / 10,202","70 / 1,072 (6.53%)","32 / 1,072 (2.99%)",0,,add to survival plot
SRCAP,Snf2-related CREBBP activator protein,36 / 986 (3.65%),"578 / 10,202","67 / 1,072 (6.25%)","10 / 1,072 (0.93%)",40,,add to survival plot
MLLT4,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",36 / 986 (3.65%),"439 / 10,202","61 / 1,072 (5.69%)","111 / 1,072 (10.35%)",33,Cancer Gene Census,add to survival plot
CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",35 / 986 (3.55%),"698 / 10,202","85 / 1,072 (7.93%)","49 / 1,072 (4.57%)",36,,add to survival plot
FBN1,fibrillin 1,35 / 986 (3.55%),"554 / 10,202","28 / 1,072 (2.61%)","81 / 1,072 (7.56%)",40,,add to survival plot
CDH23,cadherin-related 23,35 / 986 (3.55%),"640 / 10,202","58 / 1,072 (5.41%)","29 / 1,072 (2.71%)",36,,add to survival plot
KIAA2022,KIAA2022,35 / 986 (3.55%),"586 / 10,202","12 / 1,072 (1.12%)","26 / 1,072 (2.43%)",36,,add to survival plot
KIAA1109,KIAA1109,35 / 986 (3.55%),"715 / 10,202","45 / 1,072 (4.20%)","31 / 1,072 (2.89%)",41,,add to survival plot
UTRN,utrophin,35 / 986 (3.55%),"551 / 10,202","72 / 1,072 (6.72%)","65 / 1,072 (6.06%)",39,,add to survival plot
DNAH10,"dynein, axonemal, heavy chain 10",35 / 986 (3.55%),"777 / 10,202","41 / 1,072 (3.82%)","85 / 1,072 (7.93%)",47,,add to survival plot
COL6A5,"collagen, type VI, alpha 5",35 / 986 (3.55%),"413 / 10,202","43 / 1,072 (4.01%)","38 / 1,072 (3.54%)",41,,add to survival plot
TG,thyroglobulin,35 / 986 (3.55%),"725 / 10,202","192 / 1,072 (17.91%)","43 / 1,072 (4.01%)",38,,add to survival plot
MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase",35 / 986 (3.55%),"621 / 10,202","61 / 1,072 (5.69%)","34 / 1,072 (3.17%)",43,,add to survival plot
ATRX,alpha thalassemia/mental retardation syndrome X-linked,34 / 986 (3.45%),"795 / 10,202","18 / 1,072 (1.68%)","21 / 1,072 (1.96%)",54,Cancer Gene Census,add to survival plot
FOXA1,forkhead box A1,34 / 986 (3.45%),"204 / 10,202","116 / 1,072 (10.82%)","15 / 1,072 (1.40%)",36,Cancer Gene Census,add to survival plot
UBR4,ubiquitin protein ligase E3 component n-recognin 4,34 / 986 (3.45%),"708 / 10,202","19 / 1,072 (1.77%)","182 / 1,072 (16.98%)",44,,add to survival plot
DNAH6,"dynein, axonemal, heavy chain 6",34 / 986 (3.45%),"364 / 10,202","56 / 1,072 (5.22%)","17 / 1,072 (1.59%)",45,,add to survival plot
PTPRB,"protein tyrosine phosphatase, receptor type, B",34 / 986 (3.45%),"601 / 10,202","100 / 1,072 (9.33%)","15 / 1,072 (1.40%)",35,Cancer Gene Census,add to survival plot
DYNC2H1,"dynein, cytoplasmic 2, heavy chain 1",34 / 986 (3.45%),"559 / 10,202","42 / 1,072 (3.92%)","139 / 1,072 (12.97%)",42,,add to survival plot
ERBB2,erb-b2 receptor tyrosine kinase 2,34 / 986 (3.45%),"353 / 10,202","169 / 1,072 (15.76%)","44 / 1,072 (4.10%)",30,Cancer Gene Census,add to survival plot
USP9X,"ubiquitin specific peptidase 9, X-linked",34 / 986 (3.45%),"455 / 10,202","15 / 1,072 (1.40%)","13 / 1,072 (1.21%)",35,,add to survival plot
SSPO,SCO-spondin,34 / 986 (3.45%),"789 / 10,202","49 / 1,072 (4.57%)","66 / 1,072 (6.16%)",37,,add to survival plot
HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,33 / 986 (3.35%),"550 / 10,202","44 / 1,072 (4.10%)","45 / 1,072 (4.20%)",44,,add to survival plot
ATM,ATM serine/threonine kinase,33 / 986 (3.35%),"618 / 10,202","34 / 1,072 (3.17%)","159 / 1,072 (14.83%)",36,Cancer Gene Census,add to survival plot
MYLK,myosin light chain kinase,33 / 986 (3.35%),"497 / 10,202","37 / 1,072 (3.45%)","36 / 1,072 (3.36%)",36,,add to survival plot
DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1",33 / 986 (3.35%),"613 / 10,202","62 / 1,072 (5.78%)","56 / 1,072 (5.22%)",36,,add to survival plot
IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),33 / 986 (3.35%),"697 / 10,202","0 / 1,072 (0.00%)","0 / 1,072 (0.00%)",38,,add to survival plot
EYS,eyes shut homolog (Drosophila),33 / 986 (3.35%),"671 / 10,202","117 / 1,072 (10.91%)","55 / 1,072 (5.13%)",38,,add to survival plot
TEX15,testis expressed 15,33 / 986 (3.35%),"529 / 10,202","39 / 1,072 (3.64%)","56 / 1,072 (5.22%)",46,,add to survival plot
TSHZ3,teashirt zinc finger homeobox 3,33 / 986 (3.35%),"584 / 10,202","55 / 1,072 (5.13%)","16 / 1,072 (1.49%)",34,,add to survival plot
TPR,"translocated promoter region, nuclear basket protein",33 / 986 (3.35%),"449 / 10,202","117 / 1,072 (10.91%)","26 / 1,072 (2.43%)",36,Cancer Gene Census,add to survival plot
F5,"coagulation factor V (proaccelerin, labile factor)",33 / 986 (3.35%),"482 / 10,202","120 / 1,072 (11.19%)","31 / 1,072 (2.89%)",42,,add to survival plot
COL6A3,"collagen, type VI, alpha 3",33 / 986 (3.35%),"850 / 10,202","32 / 1,072 (2.99%)","90 / 1,072 (8.40%)",35,,add to survival plot
UNC13C,unc-13 homolog C (C. elegans),33 / 986 (3.35%),"719 / 10,202","29 / 1,072 (2.71%)","70 / 1,072 (6.53%)",39,,add to survival plot
PKHD1,polycystic kidney and hepatic disease 1 (autosomal recessive),33 / 986 (3.35%),"861 / 10,202","80 / 1,072 (7.46%)","21 / 1,072 (1.96%)",37,,add to survival plot
ZAN,zonadhesin (gene/pseudogene),33 / 986 (3.35%),"659 / 10,202","42 / 1,072 (3.92%)","37 / 1,072 (3.45%)",34,,add to survival plot
COL12A1,"collagen, type XII, alpha 1",33 / 986 (3.35%),"661 / 10,202","50 / 1,072 (4.66%)","59 / 1,072 (5.50%)",38,,add to survival plot
ADGRG4,adhesion G protein-coupled receptor G4,32 / 986 (3.25%),"734 / 10,202","52 / 1,072 (4.85%)","20 / 1,072 (1.87%)",38,,add to survival plot
F8,"coagulation factor VIII, procoagulant component",32 / 986 (3.25%),"530 / 10,202","69 / 1,072 (6.44%)","30 / 1,072 (2.80%)",34,,add to survival plot
TMEM132D,transmembrane protein 132D,32 / 986 (3.25%),"624 / 10,202","40 / 1,072 (3.73%)","89 / 1,072 (8.30%)",36,,add to survival plot
VPS13C,vacuolar protein sorting 13 homolog C (S. cerevisiae),32 / 986 (3.25%),"507 / 10,202","31 / 1,072 (2.89%)","50 / 1,072 (4.66%)",37,,add to survival plot
QSER1,glutamine and serine rich 1,32 / 986 (3.25%),"303 / 10,202","80 / 1,072 (7.46%)","6 / 1,072 (0.56%)",39,,add to survival plot
MAP1A,microtubule-associated protein 1A,32 / 986 (3.25%),"454 / 10,202","18 / 1,072 (1.68%)","92 / 1,072 (8.58%)",37,,add to survival plot
CENPE,"centromere protein E, 312kDa",32 / 986 (3.25%),"413 / 10,202","44 / 1,072 (4.10%)","33 / 1,072 (3.08%)",37,,add to survival plot
FRAS1,Fraser extracellular matrix complex subunit 1,32 / 986 (3.25%),"695 / 10,202","70 / 1,072 (6.53%)","17 / 1,072 (1.59%)",37,,add to survival plot
CHD7,chromodomain helicase DNA binding protein 7,32 / 986 (3.25%),"589 / 10,202","107 / 1,072 (9.98%)","59 / 1,072 (5.50%)",32,,add to survival plot
WDFY3,WD repeat and FYVE domain containing 3,32 / 986 (3.25%),"635 / 10,202","46 / 1,072 (4.29%)","22 / 1,072 (2.05%)",35,,add to survival plot
PREX2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",32 / 986 (3.25%),"603 / 10,202","106 / 1,072 (9.89%)","50 / 1,072 (4.66%)",36,,add to survival plot
CEP350,centrosomal protein 350kDa,32 / 986 (3.25%),"448 / 10,202","114 / 1,072 (10.63%)","31 / 1,072 (2.89%)",39,,add to survival plot
AKT1,v-akt murine thymoma viral oncogene homolog 1,32 / 986 (3.25%),"151 / 10,202","73 / 1,072 (6.81%)","54 / 1,072 (5.04%)",8,Cancer Gene Census,add to survival plot
HRNR,hornerin,32 / 986 (3.25%),"736 / 10,202","180 / 1,072 (16.79%)","19 / 1,072 (1.77%)",34,,add to survival plot
REXO1L1P,"REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1, pseudogene",32 / 986 (3.25%),"229 / 10,202","0 / 1,072 (0.00%)","0 / 1,072 (0.00%)",30,,add to survival plot
MGAM,maltase-glucoamylase (alpha-glucosidase),31 / 986 (3.14%),"704 / 10,202","58 / 1,072 (5.41%)","45 / 1,072 (4.20%)",34,,add to survival plot
AHCTF1,AT hook containing transcription factor 1,31 / 986 (3.14%),"381 / 10,202","180 / 1,072 (16.79%)","29 / 1,072 (2.71%)",38,,add to survival plot
CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",31 / 986 (3.14%),"528 / 10,202","63 / 1,072 (5.88%)","31 / 1,072 (2.89%)",32,,add to survival plot
UBR5,ubiquitin protein ligase E3 component n-recognin 5,31 / 986 (3.14%),"485 / 10,202","201 / 1,072 (18.75%)","15 / 1,072 (1.40%)",35,Cancer Gene Census,add to survival plot
SHANK2,SH3 and multiple ankyrin repeat domains 2,31 / 986 (3.14%),"496 / 10,202","282 / 1,072 (26.31%)","20 / 1,072 (1.87%)",46,,add to survival plot
PKD1L1,polycystic kidney disease 1 like 1,31 / 986 (3.14%),"569 / 10,202","37 / 1,072 (3.45%)","20 / 1,072 (1.87%)",36,,add to survival plot
MYO18B,myosin XVIIIB,31 / 986 (3.14%),"675 / 10,202","47 / 1,072 (4.38%)","25 / 1,072 (2.33%)",32,,add to survival plot
DNAH7,"dynein, axonemal, heavy chain 7",31 / 986 (3.14%),"898 / 10,202","56 / 1,072 (5.22%)","23 / 1,072 (2.15%)",36,,add to survival plot
AFF2,"AF4/FMR2 family, member 2",31 / 986 (3.14%),"553 / 10,202","60 / 1,072 (5.60%)","26 / 1,072 (2.43%)",34,,add to survival plot
DNAH2,"dynein, axonemal, heavy chain 2",31 / 986 (3.14%),"726 / 10,202","17 / 1,072 (1.59%)","43 / 1,072 (4.01%)",39,,add to survival plot
